,Learning Rate,Momentum,Layer 1 size,Layer 2 size,Accuracy
150,0.1,1.0,10,0,0.05
151,0.1,1.0,10,10,0.05
152,0.1,1.0,10,30,0.05
153,0.1,1.0,10,50,0.05
154,0.1,1.0,10,80,0.05
155,0.1,1.0,10,100,0.05
156,0.1,1.0,30,0,0.495
157,0.1,1.0,30,10,0.05
158,0.1,1.0,30,30,0.05
159,0.1,1.0,30,50,0.05
160,0.1,1.0,30,80,0.05
161,0.1,1.0,30,100,0.05
162,0.1,1.0,50,0,0.2
163,0.1,1.0,50,10,0.05
164,0.1,1.0,50,30,0.15999999999999998
165,0.1,1.0,50,50,0.05
166,0.1,1.0,50,80,0.155
167,0.1,1.0,50,100,0.08000000000000002
168,0.1,1.0,80,0,0.705
169,0.1,1.0,80,10,0.05
170,0.1,1.0,80,30,0.05
171,0.1,1.0,80,50,0.05
172,0.1,1.0,80,80,0.05
173,0.1,1.0,80,100,0.13999999999999999
174,0.1,1.0,100,0,0.5700000000000001
175,0.1,1.0,100,10,0.05
176,0.1,1.0,100,30,0.05
177,0.1,1.0,100,50,0.05
178,0.1,1.0,100,80,0.05
179,0.1,1.0,100,100,0.12
180,1.0,0.1,10,0,0.305
181,1.0,0.1,10,10,0.05
182,1.0,0.1,10,30,0.11000000000000001
183,1.0,0.1,10,50,0.085
184,1.0,0.1,10,80,0.18
185,1.0,0.1,10,100,0.1
186,1.0,0.1,30,0,0.655
187,1.0,0.1,30,10,0.05
188,1.0,0.1,30,30,0.25
189,1.0,0.1,30,50,0.185
190,1.0,0.1,30,80,0.33999999999999997
191,1.0,0.1,30,100,0.14500000000000002
192,1.0,0.1,50,0,0.72
193,1.0,0.1,50,10,0.125
194,1.0,0.1,50,30,0.28500000000000003
195,1.0,0.1,50,50,0.25
196,1.0,0.1,50,80,0.285
197,1.0,0.1,50,100,0.28
198,1.0,0.1,80,0,0.72
199,1.0,0.1,80,10,0.10000000000000002
200,1.0,0.1,80,30,0.265
201,1.0,0.1,80,50,0.27999999999999997
202,1.0,0.1,80,80,0.365
203,1.0,0.1,80,100,0.30999999999999994
204,1.0,0.1,100,0,0.715
205,1.0,0.1,100,10,0.13000000000000003
206,1.0,0.1,100,30,0.275
207,1.0,0.1,100,50,0.35000000000000003
208,1.0,0.1,100,80,0.32999999999999996
209,1.0,0.1,100,100,0.22999999999999998
210,1.0,0.5,10,0,0.48999999999999994
211,1.0,0.5,10,10,0.12
212,1.0,0.5,10,30,0.21000000000000002
213,1.0,0.5,10,50,0.14500000000000002
214,1.0,0.5,10,80,0.25000000000000006
215,1.0,0.5,10,100,0.18500000000000003
216,1.0,0.5,30,0,0.7100000000000001
217,1.0,0.5,30,10,0.21000000000000002
218,1.0,0.5,30,30,0.41000000000000003
219,1.0,0.5,30,50,0.37
220,1.0,0.5,30,80,0.44000000000000006
221,1.0,0.5,30,100,0.35
222,1.0,0.5,50,0,0.7250000000000001
223,1.0,0.5,50,10,0.305
224,1.0,0.5,50,30,0.495
225,1.0,0.5,50,50,0.505
226,1.0,0.5,50,80,0.41
227,1.0,0.5,50,100,0.505
228,1.0,0.5,80,0,0.7350000000000001
229,1.0,0.5,80,10,0.335
230,1.0,0.5,80,30,0.45
231,1.0,0.5,80,50,0.5349999999999999
232,1.0,0.5,80,80,0.575
233,1.0,0.5,80,100,0.48500000000000004
234,1.0,0.5,100,0,0.735
235,1.0,0.5,100,10,0.3
236,1.0,0.5,100,30,0.48
237,1.0,0.5,100,50,0.5449999999999999
238,1.0,0.5,100,80,0.6
239,1.0,0.5,100,100,0.5599999999999999
240,1.0,1.0,10,0,0.5950000000000001
241,1.0,1.0,10,10,0.095
242,1.0,1.0,10,30,0.39
243,1.0,1.0,10,50,0.22000000000000003
244,1.0,1.0,10,80,0.19499999999999998
245,1.0,1.0,10,100,0.34500000000000003
246,1.0,1.0,30,0,0.685
247,1.0,1.0,30,10,0.08000000000000002
248,1.0,1.0,30,30,0.24
249,1.0,1.0,30,50,0.395
250,1.0,1.0,30,80,0.36000000000000004
251,1.0,1.0,30,100,0.30500000000000005
252,1.0,1.0,50,0,0.7050000000000001
253,1.0,1.0,50,10,0.09
254,1.0,1.0,50,30,0.38
255,1.0,1.0,50,50,0.32500000000000007
256,1.0,1.0,50,80,0.25
257,1.0,1.0,50,100,0.27999999999999997
258,1.0,1.0,80,0,0.7100000000000001
259,1.0,1.0,80,10,0.20999999999999996
260,1.0,1.0,80,30,0.425
261,1.0,1.0,80,50,0.385
262,1.0,1.0,80,80,0.5250000000000001
263,1.0,1.0,80,100,0.27999999999999997
264,1.0,1.0,100,0,0.7150000000000001
265,1.0,1.0,100,10,0.05
266,1.0,1.0,100,30,0.255
267,1.0,1.0,100,50,0.31500000000000006
268,1.0,1.0,100,80,0.41500000000000004
269,1.0,1.0,100,100,0.46499999999999997
